Index,Campaign Period Sales,Buy,Historical Sales Volume,Number of Prior Year Transactions,Number of Transactions,Purchase Breadth,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group,Repurchase Method,Last Transaction Channel,Number of Employees,Service Level,Do No Disturb,Email Available,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies
11445,0,0,81269.76,13,13,1,12765,2260,Mid-term,English,NOTICE,MAIL,11-50,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11446,0,0,53370.72,6,6,2,12704,3261,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
11447,0,0,160819.75,2,2,1,10604,3821,Mid-term,English,AUTO RENEW,AUTO RENEW,51-100,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
11448,0,0,730400.58,21,21,1,6464,3050,Mid-term,English,AUTO RENEW,WEB,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11449,0,0,376616.16,18,18,1,5267,2668,Short-term,European,NOTICE,PHONE,1-5,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11450,0,0,776516.2971,18,18,1,8656,4229,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11451,243.5047619,1,554703.8476,17,17,1,19413,2672,Long-term,English,NOTICE,MAIL,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11452,0,0,25799.42857,10,10,1,4076,1730,Short-term,English,NOTICE,MAIL,6-10,Premier,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11453,378.768,1,189384,4,4,2,9857,1921,Mid-term,English,AUTO RENEW,AUTO RENEW,51-100,Premier,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11454,0,0,821710.4,21,21,1,13800,2357,Mid-term,English,NOTICE,MAIL,11-50,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11455,392.8380952,1,597113.9048,20,20,1,9370,3742,Mid-term,English,NOTICE,MAIL,6-10,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11456,0,0,873333.3333,25,25,1,9613,3430,Mid-term,English,NOTICE,MAIL,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11457,0,0,501910.4,20,20,4,8200,3163,Mid-term,English,NOTICE,MAIL,6-10,Standard,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
11458,0,0,604522.2857,22,22,2,9172,2364,Mid-term,English,NOTICE,MAIL,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
11459,0,0,471457.36,22,22,1,8898,2710,Mid-term,English,NOTICE,MAIL,1-5,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11460,0,0,150264,15,15,1,11669,2351,Mid-term,English,NOTICE,WEB,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11461,0,0,337646.4,24,24,1,10884,3142,Mid-term,European,NOTICE,MAIL,51-100,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11462,0,0,257576.6933,23,23,1,22931,2870,Long-term,English,NOTICE,MAIL,1-5,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11463,219.5588571,1,175427.5269,17,17,2,10281,1935,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11464,0,0,638649.6,20,20,1,8455,3135,Mid-term,English,NOTICE,WEB,11-50,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11465,457.8666667,1,1070034.4,19,19,2,17221,3270,Long-term,English,NOTICE,MAIL,11-50,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
11466,152.5904762,1,378119.2,21,21,1,17952,2020,Long-term,English,NOTICE,MAIL,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11467,0,0,96880.45714,15,15,1,3050,2296,Short-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11468,0,0,72076.66667,5,5,1,8441,3035,Mid-term,English,NOTICE,BRANCH (POS),6-10,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11469,0,0,67755.80952,23,23,1,9462,2846,Mid-term,English,NOTICE,WEB,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11470,0,0,157677.1467,14,14,1,11074,2222,Mid-term,English,NOTICE,MAIL,1-5,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11471,0,0,252068.544,18,18,2,5101,2896,Short-term,English,AUTO RENEW,PHONE,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
11472,0,0,507936,20,20,1,12511,3149,Mid-term,English,NOTICE,MAIL,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11473,0,0,1396826.496,19,19,1,13241,2937,Mid-term,English,AUTO RENEW,AUTO RENEW,11-50,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11474,0,0,131273.1429,18,18,1,9309,3540,Mid-term,English,NOTICE,MAIL,6-10,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11475,276.6533333,1,139709.9333,5,5,1,11973,3759,Mid-term,Unknown,NOTICE,MAIL,1-5,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11476,0,0,1426422.214,27,27,2,10739,3768,Mid-term,Unknown,AUTO RENEW,MAIL,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
11477,234.1333333,1,498235.7333,19,19,1,14377,2604,Long-term,English,NOTICE,MAIL,6-10,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11478,1519.416667,1,1458640,15,15,1,5353,3415,Short-term,English,NOTICE,BRANCH (PHONE),101-500,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
11479,0,0,1677358.8,5,5,1,3747,5819,Short-term,English,AUTO RENEW,WEB,101-500,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11480,0,0,526234.8,28,28,1,12079,1901,Mid-term,European,NOTICE,MAIL,51-100,Premier,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11481,0,0,920764.9524,22,22,2,8441,3345,Mid-term,English,NOTICE,WEB,6-10,Standard,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11482,286.3714286,1,720510.5143,17,17,1,5688,2505,Short-term,English,AUTO RENEW,AUTO RENEW,6-10,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11483,353.236,1,712123.776,14,14,1,6787,3708,Mid-term,English,AUTO RENEW,AUTO RENEW,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11484,0,0,56506.4,15,15,1,9509,1969,Mid-term,English,NOTICE,BRANCH (POS),6-10,Premier,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11485,0,0,186358.8571,15,15,3,8761,3545,Mid-term,English,NOTICE,WEB,6-10,Premier,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
11486,0,0,934464,20,20,1,11987,3584,Mid-term,English,NOTICE,MAIL,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11487,0,0,260448,5,5,2,5007,3519,Short-term,English,NOTICE,BRANCH (PHONE),6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
11488,0,0,656037.4857,16,16,1,2891,3204,Short-term,English,NOTICE,MAIL,6-10,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11489,275.3053333,1,532991.1253,16,16,1,25075,3095,Long-term,English,AUTO RENEW,AUTO RENEW,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11490,0,0,359728.8,18,18,1,9492,3138,Mid-term,English,NOTICE,MAIL,51-100,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11491,0,0,353103.7714,20,20,1,5350,3876,Short-term,English,AUTO RENEW,PHONE,6-10,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11492,0,0,443243.7333,23,23,1,10848,2117,Mid-term,English,NOTICE,MAIL,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11493,0,0,178152,18,18,1,8868,3109,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11494,0,0,373001.76,18,18,1,9172,3006,Mid-term,English,NOTICE,MAIL,11-50,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
